"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,4,210,54
"2","TR1",2,5,284,63
"3","TR1",2,35,188,36
"4","TR1",2,36,279,2
"5","TR1",2,37,223,43
"6","TR1",2,38,172,42
"7","TR1",2,39,263,44
"8","TR1",2,40,215,97
"9","TR1",2,41,229,35
"10","TR1",2,42,203,3
"11","TR1",2,51,293,24
"12","TR1",2,59,212,57
"13","TR1",2,110,244,67
"14","TR1",3,4,225,1
"15","TR1",3,5,222,37
"16","TR1",3,35,275,9
"17","TR1",3,36,199,40
"18","TR1",3,37,212,76
"19","TR1",3,38,234,78
"20","TR1",3,39,201,53
"21","TR1",3,40,259,73
"22","TR1",3,41,295,79
"23","TR1",3,42,177,52
"24","TR1",3,51,217,16
"25","TR1",3,59,203,82
"26","TR1",3,110,212,2
"27","TR1",6,4,272,6
"28","TR1",6,5,178,17
"29","TR1",6,35,203,9
"30","TR1",6,36,194,6
"31","TR1",6,37,274,15
"32","TR1",6,38,193,57
"33","TR1",6,39,231,9
"34","TR1",6,40,188,93
"35","TR1",6,41,175,71
"36","TR1",6,42,286,31
"37","TR1",6,51,204,53
"38","TR1",6,59,279,43
"39","TR1",6,110,289,64
"40","TR1",7,4,226,18
"41","TR1",7,5,238,90
"42","TR1",7,35,267,23
"43","TR1",7,36,294,15
"44","TR1",7,37,233,5
"45","TR1",7,38,231,68
"46","TR1",7,39,181,62
"47","TR1",7,40,253,13
"48","TR1",7,41,211,44
"49","TR1",7,42,185,70
"50","TR1",7,51,245,98
"51","TR1",7,59,289,45
"52","TR1",7,110,169,37
"53","TR1",12,4,279,7
"54","TR1",12,5,218,79
"55","TR1",12,35,193,85
"56","TR1",12,36,200,36
"57","TR1",12,37,233,41
"58","TR1",12,38,210,87
"59","TR1",12,39,283,83
"60","TR1",12,40,205,91
"61","TR1",12,41,272,69
"62","TR1",12,42,228,86
"63","TR1",12,51,272,39
"64","TR1",12,59,170,19
"65","TR1",12,110,262,3
"66","TR1",13,4,259,59
"67","TR1",13,5,283,86
"68","TR1",13,35,155,36
"69","TR1",13,36,220,66
"70","TR1",13,37,231,33
"71","TR1",13,38,154,78
"72","TR1",13,39,163,44
"73","TR1",13,40,169,31
"74","TR1",13,41,196,33
"75","TR1",13,42,284,81
"76","TR1",13,51,279,81
"77","TR1",13,59,300,15
"78","TR1",13,110,197,3
"79","TR1",15,4,238,35
"80","TR1",15,5,210,1
"81","TR1",15,35,159,3
"82","TR1",15,36,271,42
"83","TR1",15,37,290,53
"84","TR1",15,38,275,31
"85","TR1",15,39,254,71
"86","TR1",15,40,204,60
"87","TR1",15,41,163,77
"88","TR1",15,42,214,44
"89","TR1",15,51,253,53
"90","TR1",15,59,284,73
"91","TR1",15,110,212,95
"92","TR1",18,4,201,20
"93","TR1",18,5,292,28
"94","TR1",18,35,171,73
"95","TR1",18,36,257,2
"96","TR1",18,37,223,9
"97","TR1",18,38,219,44
"98","TR1",18,39,221,71
"99","TR1",18,40,273,19
"100","TR1",18,41,163,2
"101","TR1",18,42,195,71
"102","TR1",18,51,182,38
"103","TR1",18,59,190,56
"104","TR1",18,110,197,28
"105","TR1",19,4,295,64
"106","TR1",19,5,160,95
"107","TR1",19,35,290,39
"108","TR1",19,36,201,58
"109","TR1",19,37,158,50
"110","TR1",19,38,283,28
"111","TR1",19,39,205,78
"112","TR1",19,40,255,75
"113","TR1",19,41,175,44
"114","TR1",19,42,229,48
"115","TR1",19,51,212,3
"116","TR1",19,59,191,95
"117","TR1",19,110,267,80
"118","TR1",4,4,165,86
"119","TR1",4,5,219,13
"120","TR1",4,35,275,61
"121","TR1",4,36,281,25
"122","TR1",4,37,184,100
"123","TR1",4,38,242,30
"124","TR1",4,39,244,20
"125","TR1",4,40,256,12
"126","TR1",4,41,203,2
"127","TR1",4,42,154,89
"128","TR1",4,51,268,45
"129","TR1",4,59,177,99
"130","TR1",4,110,262,22
"131","TR1",11,4,229,1
"132","TR1",11,5,177,81
"133","TR1",11,35,227,43
"134","TR1",11,36,171,9
"135","TR1",11,37,216,45
"136","TR1",11,38,230,93
"137","TR1",11,39,174,26
"138","TR1",11,40,277,33
"139","TR1",11,41,282,43
"140","TR1",11,42,274,77
"141","TR1",11,51,272,96
"142","TR1",11,59,176,99
"143","TR1",11,110,177,32
