"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,4,222,82
"2","TR1",2,5,242,36
"3","TR1",2,35,270,68
"4","TR1",2,36,234,99
"5","TR1",2,37,299,29
"6","TR1",2,38,209,73
"7","TR1",2,39,266,34
"8","TR1",2,40,279,6
"9","TR1",2,41,249,70
"10","TR1",2,42,280,39
"11","TR1",2,51,219,91
"12","TR1",2,59,295,11
"13","TR1",2,110,155,45
"14","TR1",3,4,295,31
"15","TR1",3,5,272,39
"16","TR1",3,35,188,91
"17","TR1",3,36,158,37
"18","TR1",3,37,263,37
"19","TR1",3,38,228,6
"20","TR1",3,39,272,29
"21","TR1",3,40,223,87
"22","TR1",3,41,202,82
"23","TR1",3,42,150,97
"24","TR1",3,51,293,11
"25","TR1",3,59,196,19
"26","TR1",3,110,287,95
"27","TR1",6,4,271,11
"28","TR1",6,5,204,52
"29","TR1",6,35,185,64
"30","TR1",6,36,165,18
"31","TR1",6,37,154,38
"32","TR1",6,38,179,42
"33","TR1",6,39,260,49
"34","TR1",6,40,150,12
"35","TR1",6,41,167,73
"36","TR1",6,42,175,41
"37","TR1",6,51,237,37
"38","TR1",6,59,300,72
"39","TR1",6,110,209,39
"40","TR1",7,4,279,35
"41","TR1",7,5,151,82
"42","TR1",7,35,227,2
"43","TR1",7,36,166,73
"44","TR1",7,37,180,29
"45","TR1",7,38,216,12
"46","TR1",7,39,184,68
"47","TR1",7,40,238,92
"48","TR1",7,41,165,96
"49","TR1",7,42,152,20
"50","TR1",7,51,236,51
"51","TR1",7,59,292,33
"52","TR1",7,110,202,46
"53","TR1",12,4,201,87
"54","TR1",12,5,298,4
"55","TR1",12,35,252,51
"56","TR1",12,36,249,84
"57","TR1",12,37,278,55
"58","TR1",12,38,153,17
"59","TR1",12,39,215,8
"60","TR1",12,40,223,37
"61","TR1",12,41,154,29
"62","TR1",12,42,174,59
"63","TR1",12,51,194,29
"64","TR1",12,59,155,16
"65","TR1",12,110,238,83
"66","TR1",13,4,283,2
"67","TR1",13,5,290,38
"68","TR1",13,35,244,3
"69","TR1",13,36,168,3
"70","TR1",13,37,229,8
"71","TR1",13,38,206,28
"72","TR1",13,39,230,34
"73","TR1",13,40,245,19
"74","TR1",13,41,300,6
"75","TR1",13,42,247,72
"76","TR1",13,51,168,91
"77","TR1",13,59,204,44
"78","TR1",13,110,261,52
"79","TR1",15,4,279,39
"80","TR1",15,5,161,47
"81","TR1",15,35,280,58
"82","TR1",15,36,182,54
"83","TR1",15,37,232,40
"84","TR1",15,38,214,15
"85","TR1",15,39,150,96
"86","TR1",15,40,215,24
"87","TR1",15,41,264,45
"88","TR1",15,42,166,65
"89","TR1",15,51,252,49
"90","TR1",15,59,189,9
"91","TR1",15,110,185,88
"92","TR1",18,4,195,18
"93","TR1",18,5,214,29
"94","TR1",18,35,188,33
"95","TR1",18,36,183,38
"96","TR1",18,37,194,9
"97","TR1",18,38,215,71
"98","TR1",18,39,272,32
"99","TR1",18,40,230,32
"100","TR1",18,41,212,34
"101","TR1",18,42,186,67
"102","TR1",18,51,232,31
"103","TR1",18,59,242,52
"104","TR1",18,110,286,4
"105","TR1",19,4,217,13
"106","TR1",19,5,208,29
"107","TR1",19,35,253,17
"108","TR1",19,36,284,83
"109","TR1",19,37,231,56
"110","TR1",19,38,191,2
"111","TR1",19,39,158,38
"112","TR1",19,40,252,84
"113","TR1",19,41,191,73
"114","TR1",19,42,150,3
"115","TR1",19,51,224,10
"116","TR1",19,59,188,92
"117","TR1",19,110,153,6
"118","TR1",4,4,213,42
"119","TR1",4,5,195,89
"120","TR1",4,35,161,35
"121","TR1",4,36,194,68
"122","TR1",4,37,213,65
"123","TR1",4,38,271,69
"124","TR1",4,39,171,58
"125","TR1",4,40,214,59
"126","TR1",4,41,151,16
"127","TR1",4,42,150,98
"128","TR1",4,51,190,49
"129","TR1",4,59,218,44
"130","TR1",4,110,205,68
"131","TR1",11,4,297,94
"132","TR1",11,5,235,41
"133","TR1",11,35,269,99
"134","TR1",11,36,225,85
"135","TR1",11,37,269,31
"136","TR1",11,38,192,52
"137","TR1",11,39,269,75
"138","TR1",11,40,194,70
"139","TR1",11,41,287,93
"140","TR1",11,42,279,19
"141","TR1",11,51,292,82
"142","TR1",11,59,300,54
"143","TR1",11,110,224,42
"144","TR1",8,4,196,6
"145","TR1",8,5,296,54
"146","TR1",8,35,264,20
"147","TR1",8,36,288,53
"148","TR1",8,37,284,36
"149","TR1",8,38,231,93
"150","TR1",8,39,201,73
"151","TR1",8,40,244,77
"152","TR1",8,41,240,92
"153","TR1",8,42,224,29
"154","TR1",8,51,222,42
"155","TR1",8,59,235,25
"156","TR1",8,110,232,61
"157","TR1",9,4,194,25
"158","TR1",9,5,231,99
"159","TR1",9,35,217,26
"160","TR1",9,36,245,47
"161","TR1",9,37,201,97
"162","TR1",9,38,227,31
"163","TR1",9,39,166,49
"164","TR1",9,40,265,61
"165","TR1",9,41,256,21
"166","TR1",9,42,185,65
"167","TR1",9,51,295,52
"168","TR1",9,59,191,90
"169","TR1",9,110,245,7
