"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,16,155,39
"2","TR1",2,17,258,67
"3","TR1",2,22,254,94
"4","TR1",2,43,206,93
"5","TR1",2,52,288,18
"6","TR1",2,64,237,60
"7","TR1",2,82,210,99
"8","TR1",2,107,259,2
"9","TR1",3,16,256,60
"10","TR1",3,17,187,59
"11","TR1",3,22,257,57
"12","TR1",3,43,263,37
"13","TR1",3,52,177,61
"14","TR1",3,64,178,14
"15","TR1",3,82,227,23
"16","TR1",3,107,263,7
"17","TR1",6,16,239,85
"18","TR1",6,17,182,31
"19","TR1",6,22,153,76
"20","TR1",6,43,265,3
"21","TR1",6,52,189,94
"22","TR1",6,64,292,14
"23","TR1",6,82,264,48
"24","TR1",6,107,189,69
"25","TR1",7,16,240,9
"26","TR1",7,17,195,82
"27","TR1",7,22,229,49
"28","TR1",7,43,287,80
"29","TR1",7,52,269,46
"30","TR1",7,64,284,9
"31","TR1",7,82,280,56
"32","TR1",7,107,206,27
"33","TR1",12,16,232,74
"34","TR1",12,17,238,98
"35","TR1",12,22,191,70
"36","TR1",12,43,195,5
"37","TR1",12,52,175,28
"38","TR1",12,64,191,27
"39","TR1",12,82,159,33
"40","TR1",12,107,163,77
"41","TR1",13,16,179,78
"42","TR1",13,17,282,75
"43","TR1",13,22,174,87
"44","TR1",13,43,187,82
"45","TR1",13,52,209,60
"46","TR1",13,64,222,46
"47","TR1",13,82,210,3
"48","TR1",13,107,281,99
"49","TR1",15,16,156,29
"50","TR1",15,17,162,72
"51","TR1",15,22,279,87
"52","TR1",15,43,219,83
"53","TR1",15,52,155,28
"54","TR1",15,64,295,77
"55","TR1",15,82,197,66
"56","TR1",15,107,292,71
"57","TR1",18,16,262,61
"58","TR1",18,17,276,72
"59","TR1",18,22,152,46
"60","TR1",18,43,280,96
"61","TR1",18,52,185,87
"62","TR1",18,64,257,94
"63","TR1",18,82,298,45
"64","TR1",18,107,180,98
"65","TR1",19,16,259,94
"66","TR1",19,17,257,27
"67","TR1",19,22,172,79
"68","TR1",19,43,292,64
"69","TR1",19,52,192,5
"70","TR1",19,64,183,32
"71","TR1",19,82,284,88
"72","TR1",19,107,166,70
"73","TR1",4,16,182,35
"74","TR1",4,17,157,5
"75","TR1",4,22,251,40
"76","TR1",4,43,241,84
