"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,48,166,79
"2","TR1",2,61,205,67
"3","TR1",2,65,250,82
"4","TR1",2,66,215,55
"5","TR1",2,70,299,77
"6","TR1",2,71,287,20
"7","TR1",2,72,237,99
"8","TR1",2,86,205,28
"9","TR1",2,87,270,56
"10","TR1",2,88,209,67
"11","TR1",2,89,249,42
"12","TR1",2,90,284,69
"13","TR1",2,104,286,67
"14","TR1",2,105,199,85
"15","TR1",2,109,233,67
"16","TR1",3,48,224,81
"17","TR1",3,61,259,64
"18","TR1",3,65,184,86
"19","TR1",3,66,292,22
"20","TR1",3,70,225,25
"21","TR1",3,71,158,51
"22","TR1",3,72,291,47
"23","TR1",3,86,169,21
"24","TR1",3,87,206,40
"25","TR1",3,88,195,65
"26","TR1",3,89,213,90
"27","TR1",3,90,167,64
"28","TR1",3,104,279,40
"29","TR1",3,105,212,37
"30","TR1",3,109,232,85
"31","TR1",6,48,225,4
"32","TR1",6,61,280,22
"33","TR1",6,65,165,86
"34","TR1",6,66,224,95
"35","TR1",6,70,190,12
"36","TR1",6,71,253,28
"37","TR1",6,72,245,56
"38","TR1",6,86,281,83
"39","TR1",6,87,161,42
"40","TR1",6,88,208,33
"41","TR1",6,89,192,68
"42","TR1",6,90,215,85
"43","TR1",6,104,242,64
"44","TR1",6,105,214,100
"45","TR1",6,109,288,13
"46","TR1",7,48,279,87
"47","TR1",7,61,244,61
"48","TR1",7,65,257,17
"49","TR1",7,66,194,32
"50","TR1",7,70,264,78
"51","TR1",7,71,168,33
"52","TR1",7,72,179,24
"53","TR1",7,86,200,22
"54","TR1",7,87,157,40
"55","TR1",7,88,292,60
"56","TR1",7,89,282,43
"57","TR1",7,90,154,5
"58","TR1",7,104,236,9
"59","TR1",7,105,233,73
"60","TR1",7,109,299,8
"61","TR1",12,48,221,28
"62","TR1",12,61,269,40
"63","TR1",12,65,270,46
"64","TR1",12,66,280,42
"65","TR1",12,70,298,13
"66","TR1",12,71,153,15
"67","TR1",12,72,154,10
"68","TR1",12,86,243,12
"69","TR1",12,87,153,61
"70","TR1",12,88,250,75
"71","TR1",12,89,287,73
"72","TR1",12,90,160,42
"73","TR1",12,104,290,80
"74","TR1",12,105,180,81
"75","TR1",12,109,292,100
