"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,1,185,18
"2","TR1",2,77,221,86
"3","TR1",2,78,255,83
"4","TR1",2,81,283,15
"5","TR1",2,79,263,13
"6","TR1",2,80,274,31
"7","TR1",2,83,286,14
"8","TR1",2,85,167,21
"9","TR1",2,94,254,46
"10","TR1",2,95,187,54
"11","TR1",3,1,261,55
"12","TR1",3,77,188,87
"13","TR1",3,78,173,34
"14","TR1",3,81,180,75
"15","TR1",3,79,202,44
"16","TR1",3,80,233,81
"17","TR1",3,83,211,63
"18","TR1",3,85,200,20
"19","TR1",3,94,160,35
"20","TR1",3,95,150,12
"21","TR1",6,1,223,12
"22","TR1",6,77,254,13
"23","TR1",6,78,239,74
"24","TR1",6,81,211,23
"25","TR1",6,79,174,53
"26","TR1",6,80,241,67
"27","TR1",6,83,287,16
"28","TR1",6,85,160,53
"29","TR1",6,94,203,36
"30","TR1",6,95,256,24
"31","TR1",7,1,288,9
"32","TR1",7,77,281,89
"33","TR1",7,78,248,30
"34","TR1",7,81,222,73
"35","TR1",7,79,227,44
"36","TR1",7,80,250,2
"37","TR1",7,83,229,42
"38","TR1",7,85,244,87
"39","TR1",7,94,262,55
"40","TR1",7,95,287,2
"41","TR1",12,1,153,47
"42","TR1",12,77,179,55
"43","TR1",12,78,212,15
"44","TR1",12,81,206,82
"45","TR1",12,79,292,68
"46","TR1",12,80,255,83
"47","TR1",12,83,225,14
"48","TR1",12,85,243,7
"49","TR1",12,94,208,4
"50","TR1",12,95,228,22
"51","TR1",13,1,190,19
"52","TR1",13,77,245,83
"53","TR1",13,78,298,41
"54","TR1",13,81,177,82
"55","TR1",13,79,242,77
"56","TR1",13,80,195,71
"57","TR1",13,83,193,18
"58","TR1",13,85,173,92
"59","TR1",13,94,238,56
"60","TR1",13,95,249,31
"61","TR1",15,1,213,91
"62","TR1",15,77,177,40
"63","TR1",15,78,232,73
"64","TR1",15,81,195,49
"65","TR1",15,79,270,56
"66","TR1",15,80,236,34
"67","TR1",15,83,194,1
"68","TR1",15,85,198,6
"69","TR1",15,94,215,12
"70","TR1",15,95,220,95
"71","TR1",18,1,180,31
"72","TR1",18,77,169,7
"73","TR1",18,78,235,68
"74","TR1",18,81,201,73
"75","TR1",18,79,268,5
"76","TR1",18,80,175,12
"77","TR1",18,83,207,19
"78","TR1",18,85,244,88
"79","TR1",18,94,173,31
"80","TR1",18,95,214,66
"81","TR1",19,1,297,62
"82","TR1",19,77,220,18
"83","TR1",19,78,232,94
"84","TR1",19,81,280,24
"85","TR1",19,79,201,62
"86","TR1",19,80,204,52
"87","TR1",19,83,284,18
"88","TR1",19,85,234,33
"89","TR1",19,94,186,9
"90","TR1",19,95,174,66
"91","TR1",4,1,164,78
"92","TR1",4,77,170,65
"93","TR1",4,78,173,58
"94","TR1",4,81,298,28
"95","TR1",4,79,214,92
"96","TR1",4,80,270,56
"97","TR1",4,83,162,95
"98","TR1",4,85,279,87
"99","TR1",4,94,253,64
"100","TR1",4,95,282,2
"101","TR1",11,1,296,5
"102","TR1",11,77,167,19
"103","TR1",11,78,240,25
"104","TR1",11,81,206,31
"105","TR1",11,79,279,5
"106","TR1",11,80,235,46
"107","TR1",11,83,168,42
"108","TR1",11,85,290,89
"109","TR1",11,94,153,81
"110","TR1",11,95,159,75
"111","TR1",8,1,290,66
"112","TR1",8,77,269,66
"113","TR1",8,78,191,63
"114","TR1",8,81,243,89
"115","TR1",8,79,219,89
"116","TR1",8,80,272,63
"117","TR1",8,83,287,7
"118","TR1",8,85,176,61
"119","TR1",8,94,230,63
"120","TR1",8,95,264,95
"121","TR1",9,1,173,84
"122","TR1",9,77,234,74
"123","TR1",9,78,181,2
"124","TR1",9,81,212,7
"125","TR1",9,79,289,56
"126","TR1",9,80,248,96
"127","TR1",9,83,190,51
"128","TR1",9,85,269,72
"129","TR1",9,94,185,51
"130","TR1",9,95,286,98
"131","TR1",10,1,246,69
"132","TR1",10,77,276,73
"133","TR1",10,78,264,64
"134","TR1",10,81,250,60
"135","TR1",10,79,157,1
"136","TR1",10,80,292,48
"137","TR1",10,83,228,27
"138","TR1",10,85,263,19
"139","TR1",10,94,172,39
"140","TR1",10,95,165,38
"141","TR1",14,1,249,46
"142","TR1",14,77,245,30
"143","TR1",14,78,277,25
"144","TR1",14,81,196,4
"145","TR1",14,79,277,68
"146","TR1",14,80,165,33
"147","TR1",14,83,286,83
"148","TR1",14,85,238,67
"149","TR1",14,94,218,75
"150","TR1",14,95,253,50
"151","TR1",16,1,230,14
"152","TR1",16,77,213,93
"153","TR1",16,78,206,83
"154","TR1",16,81,158,26
"155","TR1",16,79,277,99
"156","TR1",16,80,292,15
"157","TR1",16,83,269,32
"158","TR1",16,85,281,67
"159","TR1",16,94,217,66
"160","TR1",16,95,225,28
"161","TR1",17,1,221,88
"162","TR1",17,77,182,20
"163","TR1",17,78,233,40
"164","TR1",17,81,245,40
"165","TR1",17,79,226,99
"166","TR1",17,80,202,16
"167","TR1",17,83,238,37
"168","TR1",17,85,198,93
"169","TR1",17,94,208,17
"170","TR1",17,95,221,29
"171","TR1",1,1,231,99
"172","TR1",1,77,209,12
"173","TR1",1,78,300,60
"174","TR1",1,81,162,25
"175","TR1",1,79,199,74
"176","TR1",1,80,156,54
"177","TR1",1,83,156,71
"178","TR1",1,85,171,93
"179","TR1",1,94,226,98
"180","TR1",1,95,217,12
"181","TR1",5,1,241,49
"182","TR1",5,77,168,98
"183","TR1",5,78,196,31
"184","TR1",5,81,207,29
"185","TR1",5,79,295,48
"186","TR1",5,80,260,38
"187","TR1",5,83,212,77
"188","TR1",5,85,292,84
"189","TR1",5,94,294,24
"190","TR1",5,95,244,4
"191","TR2",2,1,274,32
"192","TR2",2,77,157,85
"193","TR2",2,78,207,87
"194","TR2",2,81,286,51
"195","TR2",2,79,153,29
"196","TR2",2,80,172,65
"197","TR2",2,83,271,63
"198","TR2",2,85,249,27
"199","TR2",2,94,183,80
"200","TR2",2,95,159,2
"201","TR2",3,1,279,16
"202","TR2",3,77,271,87
"203","TR2",3,78,291,65
"204","TR2",3,81,244,92
"205","TR2",3,79,215,43
"206","TR2",3,80,236,99
"207","TR2",3,83,219,50
"208","TR2",3,85,288,48
"209","TR2",3,94,291,28
"210","TR2",3,95,229,40
"211","TR2",6,1,163,8
"212","TR2",6,77,150,1
"213","TR2",6,78,250,14
"214","TR2",6,81,189,18
"215","TR2",6,79,185,3
"216","TR2",6,80,182,8
"217","TR2",6,83,220,22
"218","TR2",6,85,224,72
"219","TR2",6,94,175,55
"220","TR2",6,95,227,87
"221","TR2",7,1,280,66
"222","TR2",7,77,278,92
"223","TR2",7,78,259,24
"224","TR2",7,81,225,79
"225","TR2",7,79,169,13
"226","TR2",7,80,232,92
"227","TR2",7,83,158,86
"228","TR2",7,85,214,99
"229","TR2",7,94,209,13
"230","TR2",7,95,240,40
"231","TR2",12,1,291,36
"232","TR2",12,77,216,15
"233","TR2",12,78,150,67
"234","TR2",12,81,274,71
"235","TR2",12,79,169,12
"236","TR2",12,80,256,9
"237","TR2",12,83,254,95
"238","TR2",12,85,286,63
"239","TR2",12,94,237,11
"240","TR2",12,95,184,80
"241","TR2",13,1,274,8
"242","TR2",13,77,212,48
"243","TR2",13,78,298,50
"244","TR2",13,81,266,79
"245","TR2",13,79,161,28
"246","TR2",13,80,211,100
"247","TR2",13,83,299,48
"248","TR2",13,85,159,18
"249","TR2",13,94,275,9
"250","TR2",13,95,206,82
"251","TR2",15,1,158,15
"252","TR2",15,77,213,80
"253","TR2",15,78,229,25
"254","TR2",15,81,219,3
"255","TR2",15,79,293,34
"256","TR2",15,80,244,14
"257","TR2",15,83,279,97
"258","TR2",15,85,253,19
"259","TR2",15,94,252,48
"260","TR2",15,95,259,36
"261","TR2",18,1,171,32
"262","TR2",18,77,291,48
"263","TR2",18,78,188,5
"264","TR2",18,81,203,92
"265","TR2",18,79,229,43
"266","TR2",18,80,152,57
"267","TR2",18,83,151,66
"268","TR2",18,85,191,96
"269","TR2",18,94,297,29
"270","TR2",18,95,198,91
"271","TR2",19,1,198,93
"272","TR2",19,77,178,38
"273","TR2",19,78,202,14
"274","TR2",19,81,237,48
"275","TR2",19,79,165,31
"276","TR2",19,80,168,48
"277","TR2",19,83,251,33
"278","TR2",19,85,265,28
"279","TR2",19,94,261,84
"280","TR2",19,95,160,37
"281","TR2",4,1,235,58
"282","TR2",4,77,154,6
"283","TR2",4,78,206,8
"284","TR2",4,81,220,74
"285","TR2",4,79,169,28
"286","TR2",4,80,229,72
"287","TR2",4,83,151,24
"288","TR2",4,85,277,63
"289","TR2",4,94,298,50
"290","TR2",4,95,167,85
"291","TR2",11,1,291,76
"292","TR2",11,77,191,44
"293","TR2",11,78,184,55
"294","TR2",11,81,238,71
"295","TR2",11,79,205,78
"296","TR2",11,80,194,8
"297","TR2",11,83,298,93
"298","TR2",11,85,201,67
"299","TR2",11,94,260,51
"300","TR2",11,95,176,30
"301","TR2",8,1,246,23
"302","TR2",8,77,263,80
"303","TR2",8,78,289,83
"304","TR2",8,81,278,18
"305","TR2",8,79,280,38
"306","TR2",8,80,203,9
"307","TR2",8,83,216,34
"308","TR2",8,85,203,97
"309","TR2",8,94,243,75
"310","TR2",8,95,167,80
"311","TR2",9,1,253,72
"312","TR2",9,77,265,48
"313","TR2",9,78,244,4
"314","TR2",9,81,160,7
"315","TR2",9,79,235,42
"316","TR2",9,80,251,79
"317","TR2",9,83,161,94
"318","TR2",9,85,230,28
"319","TR2",9,94,289,13
"320","TR2",9,95,250,57
"321","TR2",10,1,163,33
"322","TR2",10,77,264,3
"323","TR2",10,78,223,49
"324","TR2",10,81,163,38
"325","TR2",10,79,184,93
"326","TR2",10,80,179,12
"327","TR2",10,83,211,21
"328","TR2",10,85,238,94
"329","TR2",10,94,253,35
"330","TR2",10,95,248,69
"331","TR2",14,1,243,45
"332","TR2",14,77,208,42
"333","TR2",14,78,233,97
"334","TR2",14,81,205,17
"335","TR2",14,79,282,71
"336","TR2",14,80,196,94
"337","TR2",14,83,158,14
"338","TR2",14,85,261,26
"339","TR2",14,94,160,59
"340","TR2",14,95,180,75
"341","TR2",16,1,285,31
"342","TR2",16,77,225,97
"343","TR2",16,78,298,79
"344","TR2",16,81,207,57
"345","TR2",16,79,295,25
"346","TR2",16,80,211,14
"347","TR2",16,83,299,15
"348","TR2",16,85,258,17
"349","TR2",16,94,289,37
"350","TR2",16,95,285,99
"351","TR2",17,1,166,53
"352","TR2",17,77,174,27
"353","TR2",17,78,252,85
"354","TR2",17,81,217,64
"355","TR2",17,79,261,71
"356","TR2",17,80,300,37
"357","TR2",17,83,244,91
"358","TR2",17,85,276,13
"359","TR2",17,94,180,35
"360","TR2",17,95,218,15
"361","TR2",1,1,241,54
"362","TR2",1,77,154,18
"363","TR2",1,78,160,82
"364","TR2",1,81,197,36
"365","TR2",1,79,259,17
"366","TR2",1,80,252,29
"367","TR2",1,83,269,27
"368","TR2",1,85,185,86
"369","TR2",1,94,251,34
"370","TR2",1,95,299,89
"371","TR2",5,1,273,8
"372","TR2",5,77,171,85
"373","TR2",5,78,250,78
"374","TR2",5,81,161,59
"375","TR2",5,79,269,63
"376","TR2",5,80,205,72
"377","TR2",5,83,230,80
"378","TR2",5,85,230,63
"379","TR2",5,94,187,43
"380","TR2",5,95,292,87
"381","TR3",2,1,281,91
"382","TR3",2,77,254,22
"383","TR3",2,78,201,3
"384","TR3",2,81,299,96
"385","TR3",2,79,280,1
"386","TR3",2,80,224,57
"387","TR3",2,83,287,34
"388","TR3",2,85,244,84
"389","TR3",2,94,254,11
"390","TR3",2,95,270,61
"391","TR3",3,1,210,87
"392","TR3",3,77,207,36
"393","TR3",3,78,210,31
"394","TR3",3,81,269,49
"395","TR3",3,79,182,15
"396","TR3",3,80,268,100
"397","TR3",3,83,255,42
"398","TR3",3,85,190,47
"399","TR3",3,94,261,72
"400","TR3",3,95,254,50
"401","TR3",6,1,278,26
"402","TR3",6,77,182,18
"403","TR3",6,78,222,70
"404","TR3",6,81,240,2
"405","TR3",6,79,299,32
"406","TR3",6,80,203,65
"407","TR3",6,83,158,67
"408","TR3",6,85,234,14
"409","TR3",6,94,196,100
"410","TR3",6,95,247,12
"411","TR3",7,1,283,54
"412","TR3",7,77,220,71
"413","TR3",7,78,169,73
"414","TR3",7,81,232,42
"415","TR3",7,79,237,90
"416","TR3",7,80,192,37
"417","TR3",7,83,218,13
"418","TR3",7,85,243,11
"419","TR3",7,94,238,28
"420","TR3",7,95,271,39
"421","TR3",12,1,208,63
"422","TR3",12,77,206,72
"423","TR3",12,78,196,8
"424","TR3",12,81,157,60
"425","TR3",12,79,232,95
"426","TR3",12,80,181,9
"427","TR3",12,83,256,83
"428","TR3",12,85,197,14
"429","TR3",12,94,190,81
"430","TR3",12,95,278,78
"431","TR3",13,1,170,84
"432","TR3",13,77,231,59
"433","TR3",13,78,156,87
"434","TR3",13,81,222,34
"435","TR3",13,79,292,41
"436","TR3",13,80,217,25
"437","TR3",13,83,261,3
"438","TR3",13,85,157,95
"439","TR3",13,94,244,95
"440","TR3",13,95,186,21
"441","TR3",15,1,282,19
"442","TR3",15,77,201,83
"443","TR3",15,78,281,75
"444","TR3",15,81,250,57
"445","TR3",15,79,171,75
"446","TR3",15,80,190,69
"447","TR3",15,83,200,13
"448","TR3",15,85,291,15
"449","TR3",15,94,221,22
"450","TR3",15,95,152,5
"451","TR3",18,1,241,90
"452","TR3",18,77,241,28
"453","TR3",18,78,269,30
"454","TR3",18,81,215,12
"455","TR3",18,79,168,32
"456","TR3",18,80,297,74
"457","TR3",18,83,178,49
"458","TR3",18,85,278,33
"459","TR3",18,94,299,22
"460","TR3",18,95,161,89
"461","TR3",19,1,207,38
"462","TR3",19,77,166,75
"463","TR3",19,78,259,4
"464","TR3",19,81,153,47
"465","TR3",19,79,198,17
"466","TR3",19,80,208,58
"467","TR3",19,83,256,63
"468","TR3",19,85,213,18
"469","TR3",19,94,296,82
"470","TR3",19,95,269,5
"471","TR3",4,1,269,89
"472","TR3",4,77,263,80
"473","TR3",4,78,212,50
"474","TR3",4,81,285,42
"475","TR3",4,79,288,62
"476","TR3",4,80,207,89
"477","TR3",4,83,177,29
"478","TR3",4,85,159,77
"479","TR3",4,94,203,14
"480","TR3",4,95,233,63
"481","TR3",11,1,254,100
"482","TR3",11,77,193,4
"483","TR3",11,78,260,90
"484","TR3",11,81,209,92
"485","TR3",11,79,262,17
"486","TR3",11,80,160,89
"487","TR3",11,83,263,90
"488","TR3",11,85,258,77
"489","TR3",11,94,218,42
"490","TR3",11,95,183,13
"491","TR3",8,1,189,22
"492","TR3",8,77,247,31
"493","TR3",8,78,279,26
"494","TR3",8,81,154,62
"495","TR3",8,79,157,42
