"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,73,266,69
"2","TR1",2,76,224,69
"3","TR1",2,91,175,80
"4","TR1",2,92,300,48
"5","TR1",2,93,170,17
"6","TR1",3,73,220,55
"7","TR1",3,76,169,16
"8","TR1",3,91,282,75
"9","TR1",3,92,267,67
"10","TR1",3,93,181,61
"11","TR1",6,73,178,77
"12","TR1",6,76,257,22
"13","TR1",6,91,280,28
"14","TR1",6,92,212,82
"15","TR1",6,93,178,29
"16","TR1",7,73,184,83
"17","TR1",7,76,263,32
"18","TR1",7,91,240,26
"19","TR1",7,92,285,69
"20","TR1",7,93,272,66
"21","TR1",12,73,192,72
"22","TR1",12,76,166,55
"23","TR1",12,91,295,62
"24","TR1",12,92,171,28
"25","TR1",12,93,227,34
"26","TR1",13,73,295,10
"27","TR1",13,76,224,89
"28","TR1",13,91,173,77
"29","TR1",13,92,152,8
"30","TR1",13,93,224,6
"31","TR1",15,73,167,92
"32","TR1",15,76,240,69
"33","TR1",15,91,225,19
"34","TR1",15,92,248,70
"35","TR1",15,93,232,71
"36","TR1",18,73,275,94
"37","TR1",18,76,217,43
"38","TR1",18,91,204,65
"39","TR1",18,92,174,81
"40","TR1",18,93,208,94
"41","TR1",19,73,293,28
"42","TR1",19,76,240,88
"43","TR1",19,91,271,64
"44","TR1",19,92,160,57
"45","TR1",19,93,194,47
"46","TR1",4,73,261,27
"47","TR1",4,76,217,4
"48","TR1",4,91,186,28
"49","TR1",4,92,270,71
"50","TR1",4,93,281,2
"51","TR1",11,73,233,27
"52","TR1",11,76,221,83
"53","TR1",11,91,192,22
"54","TR1",11,92,187,37
"55","TR1",11,93,177,38
"56","TR1",8,73,263,96
"57","TR1",8,76,264,60
"58","TR1",8,91,289,71
"59","TR1",8,92,235,58
"60","TR1",8,93,153,69
"61","TR1",9,73,244,45
"62","TR1",9,76,175,5
"63","TR1",9,91,279,26
"64","TR1",9,92,168,83
"65","TR1",9,93,288,25
"66","TR1",10,73,212,5
"67","TR1",10,76,152,21
"68","TR1",10,91,274,14
"69","TR1",10,92,160,15
"70","TR1",10,93,181,80
"71","TR1",14,73,282,93
"72","TR1",14,76,234,74
"73","TR1",14,91,187,1
"74","TR1",14,92,164,75
"75","TR1",14,93,270,77
"76","TR1",16,73,240,94
"77","TR1",16,76,200,86
"78","TR1",16,91,166,13
"79","TR1",16,92,224,78
"80","TR1",16,93,268,99
"81","TR1",17,73,219,56
"82","TR1",17,76,289,82
"83","TR1",17,91,175,25
"84","TR1",17,92,251,58
"85","TR1",17,93,223,37
"86","TR1",1,73,153,82
"87","TR1",1,76,260,54
"88","TR1",1,91,196,25
"89","TR1",1,92,249,46
"90","TR1",1,93,275,33
"91","TR1",5,73,161,22
"92","TR1",5,76,277,54
"93","TR1",5,91,151,32
"94","TR1",5,92,153,71
"95","TR1",5,93,160,60
"96","TR2",2,73,256,36
"97","TR2",2,76,281,83
"98","TR2",2,91,180,33
"99","TR2",2,92,291,41
"100","TR2",2,93,266,17
"101","TR2",3,73,230,23
"102","TR2",3,76,285,52
"103","TR2",3,91,160,66
"104","TR2",3,92,266,87
"105","TR2",3,93,277,8
"106","TR2",6,73,256,30
"107","TR2",6,76,183,41
"108","TR2",6,91,238,82
"109","TR2",6,92,196,47
"110","TR2",6,93,296,98
"111","TR2",7,73,224,62
"112","TR2",7,76,247,42
"113","TR2",7,91,212,48
"114","TR2",7,92,207,50
"115","TR2",7,93,169,58
"116","TR2",12,73,214,67
"117","TR2",12,76,213,71
"118","TR2",12,91,214,61
"119","TR2",12,92,198,70
"120","TR2",12,93,183,44
"121","TR2",13,73,193,98
"122","TR2",13,76,229,37
"123","TR2",13,91,256,69
"124","TR2",13,92,257,47
"125","TR2",13,93,211,88
"126","TR2",15,73,156,77
"127","TR2",15,76,226,18
"128","TR2",15,91,282,74
"129","TR2",15,92,217,7
"130","TR2",15,93,162,25
"131","TR2",18,73,205,49
"132","TR2",18,76,183,67
"133","TR2",18,91,234,17
"134","TR2",18,92,187,17
"135","TR2",18,93,285,99
"136","TR2",19,73,221,61
"137","TR2",19,76,246,51
"138","TR2",19,91,173,63
"139","TR2",19,92,267,67
"140","TR2",19,93,150,39
"141","TR2",4,73,254,35
"142","TR2",4,76,185,57
"143","TR2",4,91,249,52
"144","TR2",4,92,237,99
"145","TR2",4,93,187,19
"146","TR2",11,73,175,75
"147","TR2",11,76,273,71
"148","TR2",11,91,224,5
"149","TR2",11,92,169,38
"150","TR2",11,93,275,39
"151","TR2",8,73,166,73
"152","TR2",8,76,154,100
"153","TR2",8,91,232,67
"154","TR2",8,92,206,70
"155","TR2",8,93,159,59
"156","TR2",9,73,222,33
"157","TR2",9,76,150,51
"158","TR2",9,91,163,5
"159","TR2",9,92,219,50
"160","TR2",9,93,238,87
"161","TR2",10,73,228,84
"162","TR2",10,76,229,35
"163","TR2",10,91,225,16
"164","TR2",10,92,197,21
"165","TR2",10,93,294,52
"166","TR2",14,73,247,47
"167","TR2",14,76,226,15
"168","TR2",14,91,193,91
"169","TR2",14,92,289,89
"170","TR2",14,93,215,77
"171","TR2",16,73,290,54
"172","TR2",16,76,171,83
"173","TR2",16,91,294,4
"174","TR2",16,92,186,55
"175","TR2",16,93,296,39
"176","TR2",17,73,262,9
"177","TR2",17,76,208,66
"178","TR2",17,91,237,36
"179","TR2",17,92,268,3
"180","TR2",17,93,193,7
"181","TR2",1,73,174,67
"182","TR2",1,76,172,46
"183","TR2",1,91,228,46
"184","TR2",1,92,212,42
"185","TR2",1,93,226,29
"186","TR2",5,73,213,35
"187","TR2",5,76,219,49
"188","TR2",5,91,190,9
"189","TR2",5,92,264,19
"190","TR2",5,93,215,60
"191","TR3",2,73,210,34
"192","TR3",2,76,202,31
"193","TR3",2,91,162,30
"194","TR3",2,92,276,60
"195","TR3",2,93,230,74
"196","TR3",3,73,161,93
"197","TR3",3,76,280,84
"198","TR3",3,91,164,30
"199","TR3",3,92,162,88
"200","TR3",3,93,218,25
"201","TR3",6,73,300,37
"202","TR3",6,76,214,28
"203","TR3",6,91,233,27
"204","TR3",6,92,217,49
"205","TR3",6,93,293,55
"206","TR3",7,73,213,82
"207","TR3",7,76,235,46
"208","TR3",7,91,155,43
"209","TR3",7,92,247,97
"210","TR3",7,93,184,73
"211","TR3",12,73,179,16
"212","TR3",12,76,191,28
"213","TR3",12,91,297,58
"214","TR3",12,92,180,79
"215","TR3",12,93,220,95
"216","TR3",13,73,260,88
"217","TR3",13,76,168,52
"218","TR3",13,91,168,32
"219","TR3",13,92,217,50
"220","TR3",13,93,188,79
"221","TR3",15,73,213,92
"222","TR3",15,76,295,32
"223","TR3",15,91,231,57
"224","TR3",15,92,199,69
"225","TR3",15,93,197,66
"226","TR3",18,73,185,73
"227","TR3",18,76,204,48
"228","TR3",18,91,159,18
"229","TR3",18,92,196,26
"230","TR3",18,93,152,45
"231","TR3",19,73,288,19
"232","TR3",19,76,248,65
"233","TR3",19,91,218,90
"234","TR3",19,92,181,48
"235","TR3",19,93,250,52
"236","TR3",4,73,255,26
"237","TR3",4,76,219,79
"238","TR3",4,91,156,14
"239","TR3",4,92,261,69
"240","TR3",4,93,210,6
"241","TR3",11,73,252,15
"242","TR3",11,76,217,25
"243","TR3",11,91,247,64
"244","TR3",11,92,239,96
"245","TR3",11,93,239,4
"246","TR3",8,73,176,42
"247","TR3",8,76,186,92
"248","TR3",8,91,180,33
"249","TR3",8,92,182,3
"250","TR3",8,93,296,83
"251","TR3",9,73,268,91
"252","TR3",9,76,298,86
"253","TR3",9,91,181,40
"254","TR3",9,92,211,14
"255","TR3",9,93,166,14
"256","TR3",10,73,235,31
"257","TR3",10,76,226,69
"258","TR3",10,91,257,70
"259","TR3",10,92,240,62
"260","TR3",10,93,265,61
"261","TR3",14,73,175,87
"262","TR3",14,76,219,54
"263","TR3",14,91,230,12
"264","TR3",14,92,215,57
"265","TR3",14,93,212,77
"266","TR3",16,73,293,100
"267","TR3",16,76,213,94
"268","TR3",16,91,253,91
"269","TR3",16,92,197,5
"270","TR3",16,93,173,28
"271","TR3",17,73,257,72
"272","TR3",17,76,206,23
"273","TR3",17,91,224,21
"274","TR3",17,92,178,81
"275","TR3",17,93,286,76
"276","TR3",1,73,197,32
"277","TR3",1,76,209,30
"278","TR3",1,91,293,91
"279","TR3",1,92,251,100
"280","TR3",1,93,244,49
"281","TR3",5,73,252,68
"282","TR3",5,76,180,42
"283","TR3",5,91,296,26
"284","TR3",5,92,251,52
"285","TR3",5,93,198,49
"286","TR4",2,73,204,28
"287","TR4",2,76,217,67
"288","TR4",2,91,265,37
"289","TR4",2,92,269,88
"290","TR4",2,93,195,93
"291","TR4",3,73,192,81
"292","TR4",3,76,151,26
