"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,32,264,34
"2","TR1",2,34,176,3
"3","TR1",2,46,295,92
"4","TR1",2,56,201,41
"5","TR1",3,32,172,67
"6","TR1",3,34,215,26
"7","TR1",3,46,282,66
"8","TR1",3,56,272,6
"9","TR1",6,32,287,67
"10","TR1",6,34,264,60
"11","TR1",6,46,181,84
"12","TR1",6,56,150,84
"13","TR1",7,32,268,90
"14","TR1",7,34,283,54
"15","TR1",7,46,239,60
"16","TR1",7,56,232,71
"17","TR1",12,32,214,38
"18","TR1",12,34,237,52
"19","TR1",12,46,152,97
"20","TR1",12,56,181,11
"21","TR1",13,32,232,21
"22","TR1",13,34,186,28
"23","TR1",13,46,242,82
"24","TR1",13,56,271,7
"25","TR1",15,32,191,45
"26","TR1",15,34,298,7
"27","TR1",15,46,300,21
"28","TR1",15,56,283,94
"29","TR1",18,32,224,59
"30","TR1",18,34,196,37
"31","TR1",18,46,188,62
"32","TR1",18,56,153,47
"33","TR1",19,32,183,34
"34","TR1",19,34,246,68
"35","TR1",19,46,186,1
"36","TR1",19,56,297,30
"37","TR1",4,32,176,9
"38","TR1",4,34,273,78
"39","TR1",4,46,270,90
"40","TR1",4,56,283,51
"41","TR1",11,32,150,82
"42","TR1",11,34,182,18
"43","TR1",11,46,172,92
"44","TR1",11,56,186,8
"45","TR1",8,32,253,14
"46","TR1",8,34,276,92
"47","TR1",8,46,227,13
"48","TR1",8,56,264,54
"49","TR1",9,32,198,50
"50","TR1",9,34,233,69
"51","TR1",9,46,153,30
"52","TR1",9,56,184,13
"53","TR1",10,32,161,57
"54","TR1",10,34,164,94
"55","TR1",10,46,214,92
"56","TR1",10,56,269,86
"57","TR1",14,32,235,91
"58","TR1",14,34,221,14
"59","TR1",14,46,152,69
"60","TR1",14,56,255,91
"61","TR1",16,32,223,86
"62","TR1",16,34,160,70
"63","TR1",16,46,236,68
"64","TR1",16,56,159,96
"65","TR1",17,32,168,72
"66","TR1",17,34,170,55
"67","TR1",17,46,227,90
"68","TR1",17,56,170,6
"69","TR1",1,32,266,38
"70","TR1",1,34,272,26
"71","TR1",1,46,239,16
"72","TR1",1,56,221,87
"73","TR1",5,32,173,57
"74","TR1",5,34,225,29
"75","TR1",5,46,213,4
"76","TR1",5,56,269,54
"77","TR2",2,32,264,94
"78","TR2",2,34,187,9
"79","TR2",2,46,231,2
"80","TR2",2,56,251,25
"81","TR2",3,32,274,20
"82","TR2",3,34,185,45
"83","TR2",3,46,300,89
"84","TR2",3,56,218,63
"85","TR2",6,32,204,42
"86","TR2",6,34,198,25
"87","TR2",6,46,163,79
"88","TR2",6,56,241,66
"89","TR2",7,32,283,20
"90","TR2",7,34,182,71
"91","TR2",7,46,275,39
"92","TR2",7,56,227,72
"93","TR2",12,32,153,65
"94","TR2",12,34,215,35
"95","TR2",12,46,259,49
"96","TR2",12,56,283,26
"97","TR2",13,32,246,39
"98","TR2",13,34,300,44
"99","TR2",13,46,172,7
"100","TR2",13,56,259,8
"101","TR2",15,32,298,3
"102","TR2",15,34,176,77
"103","TR2",15,46,201,67
"104","TR2",15,56,230,72
"105","TR2",18,32,172,10
"106","TR2",18,34,216,98
"107","TR2",18,46,231,83
"108","TR2",18,56,215,36
"109","TR2",19,32,193,91
"110","TR2",19,34,219,56
"111","TR2",19,46,254,70
"112","TR2",19,56,300,33
"113","TR2",4,32,249,36
"114","TR2",4,34,231,65
"115","TR2",4,46,230,45
"116","TR2",4,56,278,60
"117","TR2",11,32,284,36
"118","TR2",11,34,163,2
"119","TR2",11,46,280,9
"120","TR2",11,56,279,87
"121","TR2",8,32,259,22
"122","TR2",8,34,239,52
"123","TR2",8,46,199,38
"124","TR2",8,56,201,25
"125","TR2",9,32,151,45
"126","TR2",9,34,227,63
