"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,11,295,41
"2","TR1",2,14,239,98
"3","TR1",2,15,255,85
"4","TR1",2,18,296,89
"5","TR1",2,19,204,14
"6","TR1",2,21,292,75
"7","TR1",2,23,261,61
"8","TR1",2,31,298,74
"9","TR1",2,54,153,59
"10","TR1",2,60,199,39
"11","TR1",2,63,176,61
"12","TR1",2,84,251,89
"13","TR1",2,96,227,8
"14","TR1",3,11,174,39
"15","TR1",3,14,168,60
"16","TR1",3,15,294,88
"17","TR1",3,18,268,33
"18","TR1",3,19,289,43
"19","TR1",3,21,243,49
"20","TR1",3,23,180,7
"21","TR1",3,31,157,48
"22","TR1",3,54,193,74
"23","TR1",3,60,233,21
"24","TR1",3,63,225,72
"25","TR1",3,84,206,81
"26","TR1",3,96,158,45
"27","TR1",6,11,294,24
"28","TR1",6,14,166,4
"29","TR1",6,15,236,24
"30","TR1",6,18,199,48
"31","TR1",6,19,226,30
"32","TR1",6,21,159,74
"33","TR1",6,23,194,7
"34","TR1",6,31,241,5
"35","TR1",6,54,169,33
"36","TR1",6,60,258,78
"37","TR1",6,63,261,69
"38","TR1",6,84,160,64
"39","TR1",6,96,284,85
"40","TR1",7,11,290,18
"41","TR1",7,14,222,7
"42","TR1",7,15,179,63
"43","TR1",7,18,241,58
"44","TR1",7,19,294,100
"45","TR1",7,21,189,5
"46","TR1",7,23,295,2
"47","TR1",7,31,292,84
"48","TR1",7,54,261,49
"49","TR1",7,60,187,98
"50","TR1",7,63,185,65
"51","TR1",7,84,155,52
"52","TR1",7,96,266,46
"53","TR1",12,11,178,63
"54","TR1",12,14,194,50
"55","TR1",12,15,240,20
"56","TR1",12,18,232,70
"57","TR1",12,19,214,23
"58","TR1",12,21,240,37
"59","TR1",12,23,267,24
"60","TR1",12,31,171,43
"61","TR1",12,54,288,3
"62","TR1",12,60,161,93
"63","TR1",12,63,175,46
"64","TR1",12,84,209,81
"65","TR1",12,96,174,62
"66","TR1",13,11,198,95
"67","TR1",13,14,247,4
"68","TR1",13,15,179,8
"69","TR1",13,18,230,1
"70","TR1",13,19,292,89
"71","TR1",13,21,297,93
"72","TR1",13,23,176,92
"73","TR1",13,31,269,6
"74","TR1",13,54,277,7
"75","TR1",13,60,270,78
"76","TR1",13,63,232,36
"77","TR1",13,84,211,15
"78","TR1",13,96,191,85
"79","TR1",15,11,250,48
"80","TR1",15,14,200,97
"81","TR1",15,15,171,93
"82","TR1",15,18,274,17
"83","TR1",15,19,214,21
"84","TR1",15,21,197,25
"85","TR1",15,23,198,46
"86","TR1",15,31,172,39
"87","TR1",15,54,204,78
"88","TR1",15,60,152,47
"89","TR1",15,63,234,97
"90","TR1",15,84,275,26
"91","TR1",15,96,173,62
"92","TR1",18,11,150,72
"93","TR1",18,14,208,93
"94","TR1",18,15,159,16
"95","TR1",18,18,209,12
"96","TR1",18,19,300,32
"97","TR1",18,21,276,4
"98","TR1",18,23,175,5
"99","TR1",18,31,199,8
"100","TR1",18,54,151,72
"101","TR1",18,60,159,72
"102","TR1",18,63,180,85
"103","TR1",18,84,170,87
"104","TR1",18,96,244,100
"105","TR1",19,11,196,21
"106","TR1",19,14,237,5
"107","TR1",19,15,258,26
"108","TR1",19,18,285,92
"109","TR1",19,19,264,38
"110","TR1",19,21,215,38
"111","TR1",19,23,298,12
"112","TR1",19,31,185,7
"113","TR1",19,54,259,75
"114","TR1",19,60,183,65
"115","TR1",19,63,194,37
"116","TR1",19,84,171,79
"117","TR1",19,96,215,77
"118","TR1",4,11,231,67
"119","TR1",4,14,240,68
"120","TR1",4,15,282,57
"121","TR1",4,18,238,45
"122","TR1",4,19,253,7
"123","TR1",4,21,216,10
"124","TR1",4,23,203,12
"125","TR1",4,31,169,56
"126","TR1",4,54,295,72
"127","TR1",4,60,241,70
"128","TR1",4,63,263,23
"129","TR1",4,84,161,95
"130","TR1",4,96,226,12
"131","TR1",11,11,285,24
"132","TR1",11,14,281,77
"133","TR1",11,15,206,57
"134","TR1",11,18,226,45
"135","TR1",11,19,177,85
"136","TR1",11,21,225,11
"137","TR1",11,23,156,9
"138","TR1",11,31,227,12
"139","TR1",11,54,199,50
"140","TR1",11,60,249,11
"141","TR1",11,63,191,87
"142","TR1",11,84,239,39
"143","TR1",11,96,236,44
"144","TR1",8,11,184,50
"145","TR1",8,14,164,27
"146","TR1",8,15,156,26
"147","TR1",8,18,187,24
"148","TR1",8,19,162,74
"149","TR1",8,21,199,42
"150","TR1",8,23,242,27
"151","TR1",8,31,268,83
"152","TR1",8,54,173,12
"153","TR1",8,60,266,50
"154","TR1",8,63,215,37
"155","TR1",8,84,199,84
"156","TR1",8,96,283,25
"157","TR1",9,11,160,19
"158","TR1",9,14,273,54
"159","TR1",9,15,237,98
"160","TR1",9,18,185,77
"161","TR1",9,19,201,35
"162","TR1",9,21,230,70
"163","TR1",9,23,269,83
"164","TR1",9,31,217,76
"165","TR1",9,54,214,77
"166","TR1",9,60,210,45
"167","TR1",9,63,243,7
"168","TR1",9,84,257,38
"169","TR1",9,96,152,24
"170","TR1",10,11,228,34
"171","TR1",10,14,209,73
"172","TR1",10,15,263,54
"173","TR1",10,18,167,75
"174","TR1",10,19,286,21
"175","TR1",10,21,297,86
"176","TR1",10,23,209,68
"177","TR1",10,31,289,12
"178","TR1",10,54,245,83
"179","TR1",10,60,179,29
"180","TR1",10,63,159,55
"181","TR1",10,84,283,48
"182","TR1",10,96,151,55
"183","TR1",14,11,252,97
"184","TR1",14,14,248,71
"185","TR1",14,15,266,59
"186","TR1",14,18,275,75
"187","TR1",14,19,272,16
"188","TR1",14,21,227,98
"189","TR1",14,23,160,29
"190","TR1",14,31,170,49
"191","TR1",14,54,179,66
"192","TR1",14,60,280,90
"193","TR1",14,63,266,84
"194","TR1",14,84,275,26
"195","TR1",14,96,283,56
"196","TR1",16,11,246,16
"197","TR1",16,14,192,87
"198","TR1",16,15,248,83
"199","TR1",16,18,222,10
"200","TR1",16,19,288,98
"201","TR1",16,21,168,3
"202","TR1",16,23,218,30
"203","TR1",16,31,155,25
"204","TR1",16,54,203,64
"205","TR1",16,60,175,82
"206","TR1",16,63,160,4
"207","TR1",16,84,285,75
"208","TR1",16,96,298,28
"209","TR1",17,11,271,59
"210","TR1",17,14,248,78
"211","TR1",17,15,202,10
"212","TR1",17,18,153,5
"213","TR1",17,19,160,59
"214","TR1",17,21,235,32
"215","TR1",17,23,188,12
"216","TR1",17,31,245,6
"217","TR1",17,54,226,80
"218","TR1",17,60,262,1
"219","TR1",17,63,202,13
"220","TR1",17,84,152,44
"221","TR1",17,96,258,67
"222","TR1",1,11,194,29
"223","TR1",1,14,297,58
"224","TR1",1,15,236,23
"225","TR1",1,18,172,15
"226","TR1",1,19,188,31
"227","TR1",1,21,216,3
"228","TR1",1,23,284,11
"229","TR1",1,31,157,6
"230","TR1",1,54,221,23
"231","TR1",1,60,296,24
"232","TR1",1,63,212,80
"233","TR1",1,84,264,85
"234","TR1",1,96,174,38
"235","TR1",5,11,170,62
"236","TR1",5,14,201,25
"237","TR1",5,15,151,75
"238","TR1",5,18,260,45
"239","TR1",5,19,233,58
"240","TR1",5,21,177,3
"241","TR1",5,23,254,79
"242","TR1",5,31,274,19
"243","TR1",5,54,156,45
"244","TR1",5,60,201,66
"245","TR1",5,63,184,92
"246","TR1",5,84,273,39
"247","TR1",5,96,188,98
"248","TR2",2,11,258,89
"249","TR2",2,14,282,64
"250","TR2",2,15,153,92
"251","TR2",2,18,275,38
"252","TR2",2,19,298,50
"253","TR2",2,21,277,34
"254","TR2",2,23,270,8
"255","TR2",2,31,270,17
"256","TR2",2,54,239,8
"257","TR2",2,60,275,64
"258","TR2",2,63,183,29
"259","TR2",2,84,206,34
"260","TR2",2,96,239,96
"261","TR2",3,11,201,43
"262","TR2",3,14,292,32
"263","TR2",3,15,258,8
"264","TR2",3,18,151,39
"265","TR2",3,19,222,52
"266","TR2",3,21,192,52
"267","TR2",3,23,151,40
"268","TR2",3,31,180,8
"269","TR2",3,54,268,89
"270","TR2",3,60,266,50
"271","TR2",3,63,219,41
"272","TR2",3,84,241,78
"273","TR2",3,96,248,46
"274","TR2",6,11,255,74
"275","TR2",6,14,233,75
"276","TR2",6,15,230,38
"277","TR2",6,18,256,69
"278","TR2",6,19,247,54
"279","TR2",6,21,254,64
"280","TR2",6,23,265,80
"281","TR2",6,31,178,94
"282","TR2",6,54,262,57
"283","TR2",6,60,278,10
"284","TR2",6,63,184,17
"285","TR2",6,84,231,36
"286","TR2",6,96,253,23
"287","TR2",7,11,300,32
"288","TR2",7,14,154,26
"289","TR2",7,15,249,89
"290","TR2",7,18,171,93
"291","TR2",7,19,243,76
"292","TR2",7,21,191,44
"293","TR2",7,23,159,63
"294","TR2",7,31,256,50
"295","TR2",7,54,157,72
"296","TR2",7,60,210,16
"297","TR2",7,63,299,23
"298","TR2",7,84,295,86
"299","TR2",7,96,220,21
"300","TR2",12,11,188,46
"301","TR2",12,14,154,66
"302","TR2",12,15,176,53
"303","TR2",12,18,164,82
"304","TR2",12,19,170,94
"305","TR2",12,21,243,83
"306","TR2",12,23,213,6
"307","TR2",12,31,265,75
"308","TR2",12,54,213,10
"309","TR2",12,60,175,22
"310","TR2",12,63,187,21
"311","TR2",12,84,274,78
"312","TR2",12,96,157,87
"313","TR2",13,11,195,55
"314","TR2",13,14,265,34
"315","TR2",13,15,194,57
"316","TR2",13,18,248,23
