"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,47,218,37
"2","TR1",2,67,261,17
"3","TR1",2,69,290,1
"4","TR1",2,74,261,5
"5","TR1",2,75,252,81
"6","TR1",3,47,204,23
"7","TR1",3,67,252,57
"8","TR1",3,69,284,41
"9","TR1",3,74,162,70
"10","TR1",3,75,175,26
"11","TR1",6,47,273,15
"12","TR1",6,67,168,80
"13","TR1",6,69,226,79
"14","TR1",6,74,234,3
"15","TR1",6,75,274,73
"16","TR1",7,47,195,15
"17","TR1",7,67,168,94
"18","TR1",7,69,269,64
"19","TR1",7,74,205,75
"20","TR1",7,75,170,83
"21","TR1",12,47,250,71
"22","TR1",12,67,260,44
"23","TR1",12,69,197,44
"24","TR1",12,74,206,100
"25","TR1",12,75,161,86
"26","TR1",13,47,172,83
"27","TR1",13,67,232,69
"28","TR1",13,69,205,100
"29","TR1",13,74,279,76
"30","TR1",13,75,175,98
"31","TR1",15,47,286,58
"32","TR1",15,67,175,25
"33","TR1",15,69,280,3
"34","TR1",15,74,262,54
"35","TR1",15,75,214,68
"36","TR1",18,47,258,21
"37","TR1",18,67,153,3
"38","TR1",18,69,151,6
"39","TR1",18,74,191,76
"40","TR1",18,75,199,79
"41","TR1",19,47,250,39
"42","TR1",19,67,257,50
"43","TR1",19,69,212,13
"44","TR1",19,74,250,26
"45","TR1",19,75,287,92
"46","TR1",4,47,209,11
"47","TR1",4,67,268,38
"48","TR1",4,69,153,45
"49","TR1",4,74,190,38
"50","TR1",4,75,244,76
"51","TR1",11,47,293,41
"52","TR1",11,67,202,94
"53","TR1",11,69,159,27
"54","TR1",11,74,218,25
"55","TR1",11,75,241,26
"56","TR1",8,47,190,69
"57","TR1",8,67,299,87
"58","TR1",8,69,246,20
"59","TR1",8,74,196,36
"60","TR1",8,75,208,35
"61","TR1",9,47,184,57
"62","TR1",9,67,259,43
"63","TR1",9,69,207,88
"64","TR1",9,74,254,81
"65","TR1",9,75,252,94
"66","TR1",10,47,290,49
"67","TR1",10,67,276,38
"68","TR1",10,69,174,18
"69","TR1",10,74,238,53
"70","TR1",10,75,150,16
"71","TR1",14,47,216,46
"72","TR1",14,67,290,95
"73","TR1",14,69,243,19
"74","TR1",14,74,239,79
"75","TR1",14,75,205,78
"76","TR1",16,47,294,4
"77","TR1",16,67,271,77
"78","TR1",16,69,211,43
"79","TR1",16,74,191,71
"80","TR1",16,75,151,1
"81","TR1",17,47,197,23
"82","TR1",17,67,167,90
"83","TR1",17,69,156,63
"84","TR1",17,74,167,66
"85","TR1",17,75,266,98
"86","TR1",1,47,179,6
"87","TR1",1,67,246,11
"88","TR1",1,69,157,84
"89","TR1",1,74,278,94
"90","TR1",1,75,300,79
"91","TR1",5,47,273,31
"92","TR1",5,67,202,34
"93","TR1",5,69,208,76
"94","TR1",5,74,284,47
"95","TR1",5,75,186,61
"96","TR2",2,47,217,56
"97","TR2",2,67,241,2
"98","TR2",2,69,151,28
"99","TR2",2,74,246,64
"100","TR2",2,75,168,47
"101","TR2",3,47,234,71
"102","TR2",3,67,225,67
"103","TR2",3,69,236,1
"104","TR2",3,74,185,12
"105","TR2",3,75,274,46
"106","TR2",6,47,259,43
"107","TR2",6,67,282,54
"108","TR2",6,69,288,42
"109","TR2",6,74,183,42
"110","TR2",6,75,272,57
"111","TR2",7,47,161,2
"112","TR2",7,67,249,35
"113","TR2",7,69,157,90
"114","TR2",7,74,258,21
"115","TR2",7,75,212,50
"116","TR2",12,47,184,86
"117","TR2",12,67,236,30
"118","TR2",12,69,276,86
"119","TR2",12,74,233,95
"120","TR2",12,75,240,67
"121","TR2",13,47,156,81
"122","TR2",13,67,162,93
"123","TR2",13,69,218,66
"124","TR2",13,74,263,40
"125","TR2",13,75,264,49
"126","TR2",15,47,264,87
"127","TR2",15,67,161,13
"128","TR2",15,69,187,12
"129","TR2",15,74,180,45
"130","TR2",15,75,265,84
"131","TR2",18,47,238,32
"132","TR2",18,67,223,16
"133","TR2",18,69,293,41
"134","TR2",18,74,159,26
"135","TR2",18,75,218,38
"136","TR2",19,47,275,27
"137","TR2",19,67,281,66
"138","TR2",19,69,236,50
"139","TR2",19,74,270,65
"140","TR2",19,75,272,74
"141","TR2",4,47,230,7
"142","TR2",4,67,287,66
"143","TR2",4,69,275,24
"144","TR2",4,74,202,75
"145","TR2",4,75,257,41
"146","TR2",11,47,164,62
"147","TR2",11,67,178,91
"148","TR2",11,69,158,51
"149","TR2",11,74,283,58
"150","TR2",11,75,242,12
"151","TR2",8,47,161,11
"152","TR2",8,67,227,58
"153","TR2",8,69,292,17
"154","TR2",8,74,188,92
"155","TR2",8,75,296,52
"156","TR2",9,47,243,78
"157","TR2",9,67,200,58
"158","TR2",9,69,265,21
"159","TR2",9,74,286,63
"160","TR2",9,75,283,96
"161","TR2",10,47,245,50
"162","TR2",10,67,286,79
"163","TR2",10,69,212,46
"164","TR2",10,74,219,69
"165","TR2",10,75,293,34
"166","TR2",14,47,247,86
"167","TR2",14,67,298,9
"168","TR2",14,69,233,29
"169","TR2",14,74,190,86
"170","TR2",14,75,296,48
"171","TR2",16,47,222,49
"172","TR2",16,67,167,57
"173","TR2",16,69,188,80
"174","TR2",16,74,240,74
"175","TR2",16,75,151,63
"176","TR2",17,47,192,72
"177","TR2",17,67,213,68
"178","TR2",17,69,155,70
"179","TR2",17,74,242,64
"180","TR2",17,75,233,77
"181","TR2",1,47,246,98
"182","TR2",1,67,229,5
"183","TR2",1,69,246,30
"184","TR2",1,74,263,6
"185","TR2",1,75,193,52
"186","TR2",5,47,196,58
"187","TR2",5,67,273,72
"188","TR2",5,69,289,97
"189","TR2",5,74,272,100
"190","TR2",5,75,182,81
"191","TR3",2,47,191,25
"192","TR3",2,67,161,8
"193","TR3",2,69,274,83
"194","TR3",2,74,299,94
"195","TR3",2,75,225,71
"196","TR3",3,47,230,16
"197","TR3",3,67,256,93
"198","TR3",3,69,251,19
"199","TR3",3,74,288,18
"200","TR3",3,75,174,35
"201","TR3",6,47,186,31
"202","TR3",6,67,261,84
"203","TR3",6,69,245,80
"204","TR3",6,74,150,37
"205","TR3",6,75,231,7
"206","TR3",7,47,182,5
"207","TR3",7,67,172,66
"208","TR3",7,69,167,67
"209","TR3",7,74,154,63
"210","TR3",7,75,246,28
"211","TR3",12,47,172,82
"212","TR3",12,67,230,49
"213","TR3",12,69,151,59
"214","TR3",12,74,253,23
"215","TR3",12,75,155,24
"216","TR3",13,47,163,50
"217","TR3",13,67,152,94
"218","TR3",13,69,232,88
"219","TR3",13,74,205,65
"220","TR3",13,75,282,69
"221","TR3",15,47,150,49
"222","TR3",15,67,213,24
"223","TR3",15,69,156,11
"224","TR3",15,74,262,17
"225","TR3",15,75,188,45
"226","TR3",18,47,226,92
"227","TR3",18,67,153,90
"228","TR3",18,69,240,39
"229","TR3",18,74,270,82
"230","TR3",18,75,171,25
"231","TR3",19,47,194,24
"232","TR3",19,67,220,56
"233","TR3",19,69,219,100
"234","TR3",19,74,261,65
"235","TR3",19,75,206,71
"236","TR3",4,47,267,94
"237","TR3",4,67,198,52
"238","TR3",4,69,272,73
"239","TR3",4,74,231,48
"240","TR3",4,75,201,16
"241","TR3",11,47,284,42
"242","TR3",11,67,199,80
"243","TR3",11,69,289,51
"244","TR3",11,74,160,71
"245","TR3",11,75,170,66
"246","TR3",8,47,296,57
"247","TR3",8,67,286,85
"248","TR3",8,69,177,81
"249","TR3",8,74,259,34
"250","TR3",8,75,156,46
"251","TR3",9,47,259,26
"252","TR3",9,67,166,63
"253","TR3",9,69,297,80
"254","TR3",9,74,183,45
"255","TR3",9,75,214,33
"256","TR3",10,47,156,36
"257","TR3",10,67,298,6
"258","TR3",10,69,236,83
"259","TR3",10,74,171,24
"260","TR3",10,75,220,63
"261","TR3",14,47,218,15
"262","TR3",14,67,202,70
"263","TR3",14,69,293,61
"264","TR3",14,74,279,51
"265","TR3",14,75,277,27
"266","TR3",16,47,154,8
"267","TR3",16,67,197,58
"268","TR3",16,69,173,65
"269","TR3",16,74,180,3
"270","TR3",16,75,177,49
"271","TR3",17,47,151,55
"272","TR3",17,67,161,31
"273","TR3",17,69,273,42
"274","TR3",17,74,266,86
"275","TR3",17,75,197,52
"276","TR3",1,47,230,90
"277","TR3",1,67,167,38
"278","TR3",1,69,191,75
"279","TR3",1,74,176,9
"280","TR3",1,75,197,67
"281","TR3",5,47,193,64
"282","TR3",5,67,290,40
"283","TR3",5,69,268,17
"284","TR3",5,74,257,86
"285","TR3",5,75,154,29
"286","TR4",2,47,258,22
"287","TR4",2,67,199,1
"288","TR4",2,69,263,75
"289","TR4",2,74,280,21
"290","TR4",2,75,272,96
"291","TR4",3,47,243,42
"292","TR4",3,67,201,82
"293","TR4",3,69,183,96
"294","TR4",3,74,186,37
"295","TR4",3,75,193,36
"296","TR4",6,47,291,37
"297","TR4",6,67,188,7
"298","TR4",6,69,234,20
"299","TR4",6,74,211,26
"300","TR4",6,75,214,6
"301","TR4",7,47,187,15
"302","TR4",7,67,190,60
"303","TR4",7,69,285,65
"304","TR4",7,74,191,42
"305","TR4",7,75,245,79
"306","TR4",12,47,168,97
"307","TR4",12,67,172,50
"308","TR4",12,69,290,2
"309","TR4",12,74,187,25
"310","TR4",12,75,244,52
"311","TR4",13,47,194,6
"312","TR4",13,67,167,62
"313","TR4",13,69,270,73
"314","TR4",13,74,234,80
"315","TR4",13,75,233,27
"316","TR4",15,47,290,92
"317","TR4",15,67,188,59
"318","TR4",15,69,172,54
"319","TR4",15,74,156,98
"320","TR4",15,75,193,8
"321","TR4",18,47,248,81
"322","TR4",18,67,271,3
"323","TR4",18,69,249,67
"324","TR4",18,74,252,99
"325","TR4",18,75,278,30
"326","TR4",19,47,291,82
"327","TR4",19,67,199,86
"328","TR4",19,69,282,17
"329","TR4",19,74,171,88
"330","TR4",19,75,255,35
"331","TR4",4,47,193,7
"332","TR4",4,67,226,54
"333","TR4",4,69,223,45
"334","TR4",4,74,264,63
"335","TR4",4,75,262,31
"336","TR4",11,47,185,40
"337","TR4",11,67,186,31
"338","TR4",11,69,194,2
"339","TR4",11,74,186,67
"340","TR4",11,75,171,24
"341","TR4",8,47,297,89
"342","TR4",8,67,249,67
"343","TR4",8,69,176,5
"344","TR4",8,74,237,98
"345","TR4",8,75,231,67
"346","TR4",9,47,195,67
"347","TR4",9,67,150,11
"348","TR4",9,69,175,68
"349","TR4",9,74,299,79
"350","TR4",9,75,233,69
"351","TR4",10,47,205,42
"352","TR4",10,67,226,6
"353","TR4",10,69,236,45
"354","TR4",10,74,254,1
"355","TR4",10,75,287,63
"356","TR4",14,47,193,81
"357","TR4",14,67,223,20
"358","TR4",14,69,173,26
"359","TR4",14,74,190,98
"360","TR4",14,75,157,19
"361","TR4",16,47,202,70
"362","TR4",16,67,232,67
"363","TR4",16,69,238,99
"364","TR4",16,74,160,24
"365","TR4",16,75,175,64
"366","TR4",17,47,153,89
"367","TR4",17,67,182,31
"368","TR4",17,69,159,100
"369","TR4",17,74,274,8
"370","TR4",17,75,171,46
"371","TR4",1,47,285,26
"372","TR4",1,67,213,46
"373","TR4",1,69,167,36
"374","TR4",1,74,229,82
"375","TR4",1,75,265,7
"376","TR4",5,47,286,73
"377","TR4",5,67,242,43
"378","TR4",5,69,288,52
"379","TR4",5,74,208,29
"380","TR4",5,75,199,81
"381","TR5",2,47,283,64
"382","TR5",2,67,192,51
"383","TR5",2,69,298,35
"384","TR5",2,74,182,100
"385","TR5",2,75,220,100
"386","TR5",3,47,207,33
"387","TR5",3,67,234,70
"388","TR5",3,69,175,11
"389","TR5",3,74,168,10
"390","TR5",3,75,177,85
"391","TR5",6,47,218,8
"392","TR5",6,67,245,10
"393","TR5",6,69,294,89
"394","TR5",6,74,176,69
"395","TR5",6,75,276,74
"396","TR5",7,47,244,58
"397","TR5",7,67,201,58
"398","TR5",7,69,227,93
"399","TR5",7,74,245,33
"400","TR5",7,75,212,54
"401","TR5",12,47,198,85
"402","TR5",12,67,253,81
"403","TR5",12,69,215,18
"404","TR5",12,74,213,18
"405","TR5",12,75,230,23
"406","TR5",13,47,272,90
"407","TR5",13,67,179,41
"408","TR5",13,69,282,44
"409","TR5",13,74,168,56
"410","TR5",13,75,162,95
"411","TR5",15,47,156,24
"412","TR5",15,67,251,30
"413","TR5",15,69,271,45
"414","TR5",15,74,199,77
"415","TR5",15,75,160,23
"416","TR5",18,47,257,33
"417","TR5",18,67,217,32
"418","TR5",18,69,239,54
"419","TR5",18,74,263,65
"420","TR5",18,75,263,82
"421","TR5",19,47,200,52
"422","TR5",19,67,298,94
"423","TR5",19,69,269,27
"424","TR5",19,74,220,96
"425","TR5",19,75,152,92
"426","TR5",4,47,256,84
"427","TR5",4,67,275,37
"428","TR5",4,69,228,66
"429","TR5",4,74,246,14
"430","TR5",4,75,162,29
"431","TR5",11,47,231,13
"432","TR5",11,67,268,77
"433","TR5",11,69,252,41
"434","TR5",11,74,222,40
"435","TR5",11,75,227,34
"436","TR5",8,47,200,18
"437","TR5",8,67,203,68
"438","TR5",8,69,173,99
"439","TR5",8,74,158,2
"440","TR5",8,75,228,43
"441","TR5",9,47,241,41
"442","TR5",9,67,254,36
"443","TR5",9,69,166,80
"444","TR5",9,74,279,92
"445","TR5",9,75,233,12
"446","TR5",10,47,266,62
"447","TR5",10,67,232,18
"448","TR5",10,69,277,43
"449","TR5",10,74,291,82
"450","TR5",10,75,194,70
"451","TR5",14,47,198,79
"452","TR5",14,67,193,49
"453","TR5",14,69,282,98
"454","TR5",14,74,247,53
"455","TR5",14,75,259,5
"456","TR5",16,47,154,36
"457","TR5",16,67,214,76
"458","TR5",16,69,185,94
"459","TR5",16,74,235,71
"460","TR5",16,75,263,8
"461","TR5",17,47,282,7
"462","TR5",17,67,182,83
"463","TR5",17,69,273,65
"464","TR5",17,74,178,30
"465","TR5",17,75,213,37
"466","TR5",1,47,170,37
"467","TR5",1,67,166,1
"468","TR5",1,69,234,24
"469","TR5",1,74,263,24
"470","TR5",1,75,187,92
"471","TR5",5,47,222,88
"472","TR5",5,67,179,57
"473","TR5",5,69,232,63
"474","TR5",5,74,202,42
"475","TR5",5,75,208,29
"476","TR6",2,47,164,30
"477","TR6",2,67,257,45
"478","TR6",2,69,237,9
"479","TR6",2,74,201,81
"480","TR6",2,75,277,9
"481","TR6",3,47,195,51
"482","TR6",3,67,188,7
"483","TR6",3,69,299,83
"484","TR6",3,74,211,44
"485","TR6",3,75,268,85
"486","TR6",6,47,260,14
"487","TR6",6,67,175,58
"488","TR6",6,69,282,20
"489","TR6",6,74,154,60
"490","TR6",6,75,231,24
"491","TR6",7,47,208,32
"492","TR6",7,67,170,22
"493","TR6",7,69,158,48
"494","TR6",7,74,160,72
"495","TR6",7,75,228,28
"496","TR6",12,47,153,37
"497","TR6",12,67,204,69
"498","TR6",12,69,213,96
"499","TR6",12,74,275,49
"500","TR6",12,75,155,29
"501","TR6",13,47,283,6
"502","TR6",13,67,175,78
"503","TR6",13,69,283,42
"504","TR6",13,74,246,17
"505","TR6",13,75,197,12
"506","TR6",15,47,168,68
"507","TR6",15,67,277,36
"508","TR6",15,69,189,44
"509","TR6",15,74,202,26
"510","TR6",15,75,192,27
"511","TR6",18,47,272,64
"512","TR6",18,67,215,66
"513","TR6",18,69,262,32
"514","TR6",18,74,175,61
"515","TR6",18,75,222,30
"516","TR6",19,47,235,36
