"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,2,200,33
"2","TR1",2,3,277,35
"3","TR1",2,6,276,10
"4","TR1",2,33,172,75
"5","TR1",2,106,185,56
"6","TR1",3,2,278,87
"7","TR1",3,3,162,4
"8","TR1",3,6,229,2
"9","TR1",3,33,186,70
"10","TR1",3,106,264,3
"11","TR1",6,2,188,69
"12","TR1",6,3,182,41
"13","TR1",6,6,228,2
"14","TR1",6,33,178,40
"15","TR1",6,106,242,78
"16","TR1",7,2,153,25
"17","TR1",7,3,168,73
"18","TR1",7,6,195,90
"19","TR1",7,33,215,56
"20","TR1",7,106,266,64
"21","TR1",12,2,296,4
"22","TR1",12,3,223,52
"23","TR1",12,6,263,50
"24","TR1",12,33,263,74
"25","TR1",12,106,258,39
"26","TR1",13,2,171,54
"27","TR1",13,3,236,79
"28","TR1",13,6,292,28
"29","TR1",13,33,161,32
"30","TR1",13,106,186,73
"31","TR1",15,2,274,8
"32","TR1",15,3,299,76
"33","TR1",15,6,191,30
"34","TR1",15,33,153,16
"35","TR1",15,106,290,72
"36","TR1",18,2,225,26
"37","TR1",18,3,261,66
"38","TR1",18,6,294,1
"39","TR1",18,33,293,23
"40","TR1",18,106,228,4
"41","TR1",19,2,208,98
"42","TR1",19,3,283,37
"43","TR1",19,6,239,65
"44","TR1",19,33,276,33
"45","TR1",19,106,243,45
"46","TR1",4,2,162,61
"47","TR1",4,3,206,99
"48","TR1",4,6,207,57
"49","TR1",4,33,196,48
"50","TR1",4,106,283,52
"51","TR1",11,2,243,25
"52","TR1",11,3,194,31
"53","TR1",11,6,290,19
"54","TR1",11,33,289,19
"55","TR1",11,106,254,18
"56","TR1",8,2,288,26
"57","TR1",8,3,223,87
"58","TR1",8,6,155,41
"59","TR1",8,33,205,11
"60","TR1",8,106,197,52
"61","TR1",9,2,279,1
"62","TR1",9,3,261,26
"63","TR1",9,6,200,72
"64","TR1",9,33,184,22
"65","TR1",9,106,280,85
"66","TR1",10,2,270,81
"67","TR1",10,3,251,9
"68","TR1",10,6,269,80
"69","TR1",10,33,260,73
"70","TR1",10,106,196,40
"71","TR1",14,2,268,75
"72","TR1",14,3,169,70
"73","TR1",14,6,269,97
"74","TR1",14,33,187,48
"75","TR1",14,106,175,18
"76","TR1",16,2,157,78
"77","TR1",16,3,230,45
"78","TR1",16,6,231,67
"79","TR1",16,33,174,96
"80","TR1",16,106,232,64
"81","TR1",17,2,202,27
"82","TR1",17,3,230,17
"83","TR1",17,6,245,92
"84","TR1",17,33,288,88
"85","TR1",17,106,169,22
"86","TR1",1,2,283,24
"87","TR1",1,3,236,23
"88","TR1",1,6,150,57
"89","TR1",1,33,269,50
"90","TR1",1,106,270,40
"91","TR1",5,2,206,22
"92","TR1",5,3,177,4
"93","TR1",5,6,274,90
"94","TR1",5,33,264,38
"95","TR1",5,106,189,72
"96","TR2",2,2,234,4
"97","TR2",2,3,171,98
"98","TR2",2,6,234,63
"99","TR2",2,33,229,89
"100","TR2",2,106,244,71
"101","TR2",3,2,152,91
"102","TR2",3,3,174,41
"103","TR2",3,6,224,20
"104","TR2",3,33,211,82
"105","TR2",3,106,162,33
"106","TR2",6,2,157,87
"107","TR2",6,3,172,75
"108","TR2",6,6,175,68
"109","TR2",6,33,159,80
"110","TR2",6,106,252,68
"111","TR2",7,2,210,11
"112","TR2",7,3,252,30
"113","TR2",7,6,172,29
"114","TR2",7,33,281,99
"115","TR2",7,106,153,82
"116","TR2",12,2,193,27
"117","TR2",12,3,190,52
"118","TR2",12,6,300,24
"119","TR2",12,33,293,89
"120","TR2",12,106,206,11
"121","TR2",13,2,242,84
"122","TR2",13,3,207,70
"123","TR2",13,6,214,71
"124","TR2",13,33,218,22
"125","TR2",13,106,154,80
"126","TR2",15,2,211,23
"127","TR2",15,3,176,68
"128","TR2",15,6,295,97
"129","TR2",15,33,287,27
"130","TR2",15,106,279,65
"131","TR2",18,2,215,96
"132","TR2",18,3,295,82
"133","TR2",18,6,207,78
"134","TR2",18,33,197,51
"135","TR2",18,106,153,9
"136","TR2",19,2,204,68
"137","TR2",19,3,264,32
"138","TR2",19,6,286,37
"139","TR2",19,33,249,91
"140","TR2",19,106,265,43
"141","TR2",4,2,237,68
"142","TR2",4,3,263,71
"143","TR2",4,6,177,7
"144","TR2",4,33,208,26
"145","TR2",4,106,280,66
"146","TR2",11,2,158,34
"147","TR2",11,3,265,79
"148","TR2",11,6,269,15
"149","TR2",11,33,194,66
