"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,10,184,72
"2","TR1",2,12,255,59
"3","TR1",2,13,294,79
"4","TR1",2,20,226,72
"5","TR1",2,30,293,44
"6","TR1",2,50,284,29
"7","TR1",2,57,267,51
"8","TR1",2,58,270,99
"9","TR1",2,108,241,73
"10","TR1",3,10,189,100
"11","TR1",3,12,184,86
"12","TR1",3,13,201,11
"13","TR1",3,20,165,79
"14","TR1",3,30,284,25
"15","TR1",3,50,162,83
"16","TR1",3,57,224,7
"17","TR1",3,58,201,9
"18","TR1",3,108,295,8
"19","TR1",6,10,225,6
"20","TR1",6,12,190,59
"21","TR1",6,13,265,72
"22","TR1",6,20,170,10
"23","TR1",6,30,242,42
"24","TR1",6,50,196,54
"25","TR1",6,57,294,93
"26","TR1",6,58,195,74
"27","TR1",6,108,281,39
"28","TR1",7,10,171,21
"29","TR1",7,12,224,59
"30","TR1",7,13,197,50
"31","TR1",7,20,283,51
"32","TR1",7,30,157,16
"33","TR1",7,50,285,94
"34","TR1",7,57,198,13
"35","TR1",7,58,298,46
"36","TR1",7,108,197,76
"37","TR1",12,10,297,28
"38","TR1",12,12,267,52
"39","TR1",12,13,155,3
"40","TR1",12,20,248,95
"41","TR1",12,30,196,20
"42","TR1",12,50,263,100
"43","TR1",12,57,205,41
"44","TR1",12,58,222,66
"45","TR1",12,108,291,68
"46","TR1",13,10,296,5
"47","TR1",13,12,243,26
"48","TR1",13,13,161,70
"49","TR1",13,20,239,54
"50","TR1",13,30,162,53
"51","TR1",13,50,252,36
"52","TR1",13,57,266,39
"53","TR1",13,58,271,24
"54","TR1",13,108,208,64
"55","TR1",15,10,188,23
"56","TR1",15,12,210,78
"57","TR1",15,13,243,92
"58","TR1",15,20,272,32
"59","TR1",15,30,236,90
"60","TR1",15,50,286,16
"61","TR1",15,57,266,94
"62","TR1",15,58,207,14
"63","TR1",15,108,189,65
"64","TR1",18,10,235,76
"65","TR1",18,12,196,33
"66","TR1",18,13,284,87
"67","TR1",18,20,242,98
"68","TR1",18,30,171,58
"69","TR1",18,50,194,78
"70","TR1",18,57,203,14
"71","TR1",18,58,285,75
"72","TR1",18,108,226,56
"73","TR1",19,10,159,33
"74","TR1",19,12,288,71
"75","TR1",19,13,190,4
"76","TR1",19,20,274,41
"77","TR1",19,30,235,86
"78","TR1",19,50,293,100
"79","TR1",19,57,248,55
"80","TR1",19,58,224,77
"81","TR1",19,108,217,3
"82","TR1",4,10,260,69
"83","TR1",4,12,161,67
"84","TR1",4,13,169,77
"85","TR1",4,20,271,35
"86","TR1",4,30,183,29
"87","TR1",4,50,168,98
"88","TR1",4,57,188,73
"89","TR1",4,58,251,98
"90","TR1",4,108,251,95
"91","TR1",11,10,272,45
"92","TR1",11,12,195,37
"93","TR1",11,13,269,89
"94","TR1",11,20,276,7
"95","TR1",11,30,240,7
"96","TR1",11,50,247,75
"97","TR1",11,57,156,95
"98","TR1",11,58,292,53
"99","TR1",11,108,205,33
"100","TR1",8,10,298,4
"101","TR1",8,12,157,74
"102","TR1",8,13,186,93
"103","TR1",8,20,221,67
"104","TR1",8,30,271,77
"105","TR1",8,50,199,63
"106","TR1",8,57,249,74
"107","TR1",8,58,230,52
"108","TR1",8,108,248,2
"109","TR1",9,10,293,89
"110","TR1",9,12,152,8
"111","TR1",9,13,276,52
"112","TR1",9,20,214,10
"113","TR1",9,30,247,50
"114","TR1",9,50,258,89
"115","TR1",9,57,207,6
"116","TR1",9,58,277,86
"117","TR1",9,108,300,77
"118","TR1",10,10,246,13
"119","TR1",10,12,201,32
"120","TR1",10,13,289,66
"121","TR1",10,20,189,29
"122","TR1",10,30,195,96
"123","TR1",10,50,235,52
"124","TR1",10,57,153,71
"125","TR1",10,58,157,1
"126","TR1",10,108,251,13
"127","TR1",14,10,230,78
"128","TR1",14,12,195,53
"129","TR1",14,13,211,3
"130","TR1",14,20,186,95
"131","TR1",14,30,277,79
"132","TR1",14,50,189,92
"133","TR1",14,57,165,88
"134","TR1",14,58,164,44
"135","TR1",14,108,178,53
"136","TR1",16,10,200,67
"137","TR1",16,12,240,14
"138","TR1",16,13,300,65
"139","TR1",16,20,276,36
"140","TR1",16,30,166,78
"141","TR1",16,50,215,47
"142","TR1",16,57,300,24
"143","TR1",16,58,298,31
"144","TR1",16,108,296,84
"145","TR1",17,10,264,36
"146","TR1",17,12,186,84
"147","TR1",17,13,295,44
"148","TR1",17,20,280,10
"149","TR1",17,30,263,50
"150","TR1",17,50,201,40
"151","TR1",17,57,160,19
"152","TR1",17,58,258,40
"153","TR1",17,108,284,52
"154","TR1",1,10,199,49
"155","TR1",1,12,180,79
"156","TR1",1,13,162,98
"157","TR1",1,20,154,27
"158","TR1",1,30,298,33
"159","TR1",1,50,155,49
"160","TR1",1,57,199,99
"161","TR1",1,58,231,49
"162","TR1",1,108,229,88
"163","TR1",5,10,253,49
"164","TR1",5,12,219,58
"165","TR1",5,13,231,23
"166","TR1",5,20,206,83
"167","TR1",5,30,267,27
"168","TR1",5,50,280,9
"169","TR1",5,57,283,61
"170","TR1",5,58,251,86
"171","TR1",5,108,159,59
"172","TR2",2,10,259,76
"173","TR2",2,12,266,71
"174","TR2",2,13,164,89
