"","regionCode","groupID","indicatorID","N","value"
"1","TR1",2,7,212,74
"2","TR1",2,8,286,50
"3","TR1",2,9,201,48
"4","TR1",2,44,283,94
"5","TR1",2,45,258,95
"6","TR1",2,53,153,97
"7","TR1",2,68,209,95
"8","TR1",2,97,179,21
"9","TR1",2,98,203,26
"10","TR1",2,99,165,46
"11","TR1",2,100,174,71
"12","TR1",2,101,264,14
"13","TR1",3,7,217,30
"14","TR1",3,8,186,14
"15","TR1",3,9,289,30
"16","TR1",3,44,227,80
"17","TR1",3,45,157,41
"18","TR1",3,53,154,1
"19","TR1",3,68,218,100
"20","TR1",3,97,251,3
"21","TR1",3,98,274,14
"22","TR1",3,99,217,29
"23","TR1",3,100,250,14
"24","TR1",3,101,274,56
"25","TR1",6,7,199,84
"26","TR1",6,8,194,82
"27","TR1",6,9,228,51
"28","TR1",6,44,249,65
"29","TR1",6,45,182,23
"30","TR1",6,53,240,11
"31","TR1",6,68,219,58
"32","TR1",6,97,298,92
"33","TR1",6,98,229,58
"34","TR1",6,99,189,53
"35","TR1",6,100,185,12
"36","TR1",6,101,215,75
"37","TR1",7,7,247,94
"38","TR1",7,8,210,28
"39","TR1",7,9,290,40
"40","TR1",7,44,270,52
"41","TR1",7,45,171,92
"42","TR1",7,53,283,62
"43","TR1",7,68,269,84
"44","TR1",7,97,267,94
"45","TR1",7,98,277,7
"46","TR1",7,99,169,15
"47","TR1",7,100,290,64
"48","TR1",7,101,188,67
"49","TR1",12,7,211,81
"50","TR1",12,8,216,53
"51","TR1",12,9,160,54
"52","TR1",12,44,289,60
"53","TR1",12,45,180,96
"54","TR1",12,53,170,61
"55","TR1",12,68,243,85
"56","TR1",12,97,253,33
"57","TR1",12,98,236,13
"58","TR1",12,99,210,92
"59","TR1",12,100,159,33
"60","TR1",12,101,247,23
"61","TR1",13,7,163,99
"62","TR1",13,8,245,21
"63","TR1",13,9,239,78
"64","TR1",13,44,254,39
"65","TR1",13,45,219,86
"66","TR1",13,53,171,46
"67","TR1",13,68,269,87
"68","TR1",13,97,256,38
"69","TR1",13,98,282,42
"70","TR1",13,99,259,12
"71","TR1",13,100,181,26
"72","TR1",13,101,239,77
"73","TR1",15,7,181,6
"74","TR1",15,8,299,67
"75","TR1",15,9,280,75
"76","TR1",15,44,251,77
"77","TR1",15,45,239,50
"78","TR1",15,53,260,20
"79","TR1",15,68,152,72
"80","TR1",15,97,174,65
"81","TR1",15,98,162,64
"82","TR1",15,99,166,56
"83","TR1",15,100,258,3
"84","TR1",15,101,154,35
"85","TR1",18,7,240,70
"86","TR1",18,8,166,45
"87","TR1",18,9,257,32
"88","TR1",18,44,236,71
"89","TR1",18,45,182,74
"90","TR1",18,53,189,60
"91","TR1",18,68,210,61
"92","TR1",18,97,160,54
"93","TR1",18,98,248,38
"94","TR1",18,99,300,35
"95","TR1",18,100,184,77
"96","TR1",18,101,191,99
